scenario,cumulative_climate_kg_CO2eq,discounted_cost_EUR_2025,share_steam_cracking,share_mto,share_eco2r
cost_minimum,36820119392.45522,18852767095.542374,1.0,0.0,0.0
cumulative_net_zero,-1.1067076143523614e-05,56075776477.3832,0.42740306857740484,0.572596931422595,0.0
climate_minimum,-26659036166.06799,133731294484.91214,0.2307693450317638,0.26923065496823617,0.5
